,bathrooms,square_feet,price
1158,1.0,915.0,59.0
1162,1.0,226.0,45.0
1165,1.1244292237442923,0.0,90.0
1167,1.0,807.0,115.0
1170,1.0,538.0,79.0
1171,1.0,291.0,49.0
1175,1.0,1399.0,60.0
1183,1.0,0.0,20.0
1189,1.0,0.0,65.0
1190,1.0,700.0,130.0
1200,1.0,0.0,55.0
1201,1.0,215.0,63.0
1210,1.0,1776.0,120.0
1244,0.5,205.0,24.0
1264,1.0,775.0,89.0
1273,1.0,646.0,69.0
1282,1.0,269.0,80.0
1291,1.0,452.0,52.0
1310,0.5,183.0,28.0
1322,1.0,1367.0,95.0
1323,2.0,240.0,34.0
1326,1.0,0.0,95.0
1331,1.0,431.0,69.0
1349,1.0,678.0,50.0
1351,2.0,1292.0,296.0
1358,1.0,592.0,89.0
1361,1.0,1023.0,90.0
1365,1.0,398.0,250.0
1375,1.0,0.0,52.0
1376,1.0,215.0,69.0
1379,1.0,215.0,37.0
1429,1.0,753.0,99.0
1431,1.0,495.0,50.0
1434,4.5,2153.0,300.0
1439,2.0,1615.0,235.0
1454,2.0,0.0,169.0
1457,1.0,355.0,52.0
1561,1.0,592.0,79.0
1565,1.0,753.0,65.0
1577,1.5,463.0,46.0
1589,1.0,646.0,98.0
1602,1.0,388.0,63.0
1629,1.0,646.0,50.0
1630,1.0,570.0,70.0
1639,1.0,355.0,30.0
1655,1.0,258.0,35.0
1700,1.0,807.0,41.0
1704,1.0,388.0,27.0
1708,2.0,1076.0,190.0
1713,1.0,420.0,48.0
1717,1.0,377.0,52.0
1722,2.0,161.0,40.0
1723,1.0,646.0,80.0
1725,1.0,807.0,72.0
1731,1.0,431.0,60.0
1732,1.0,366.0,69.0
1733,1.0,237.0,34.0
1738,1.0,1184.0,75.0
1755,1.0,355.0,41.0
4476,1.0,0.0,55.0
5270,1.0,0.0,30.0
5361,1.0,0.0,38.0
19434,1.0,0.0,50.0
20062,1.5,1238.0,70.0
21077,1.0,108.0,48.0
21559,2.0,1023.0,30.0
21703,1.0,108.0,28.0
22285,1.0,108.0,35.0
